Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_145.jpg;2.970764;1;0;0.8485407;100.0411;85.90878;1.225289;40.97218;-0.002667745
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_212.jpg;0;1;0;0.9039537;100.0964;85.95753;1.249309;41.10316;-0.001364441
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_279.jpg;0;1;0;0.9614004;100.1406;85.99581;1.242827;41.10348;-0.0009559711
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_345.jpg;0;1;0;1.025949;100.1866;86.03565;1.214929;41.09687;-0.0008020871
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_413.jpg;0;1;0;1.070835;100.2518;86.09209;1.225124;41.08849;-0.0004541513
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_479.jpg;0;1;0;1.114771;100.3035;86.13678;1.247007;41.07973;-0.0008743111
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_546.jpg;0;1;0;1.172586;100.3566;86.18277;1.23769;41.07085;-0.0009114559
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_612.jpg;0;1;0;1.225389;100.4311;86.24714;1.230058;41.02568;-0.0006425594
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_679.jpg;0;1;0;1.270455;100.4896;86.29768;1.235011;40.99919;-0.0007860278
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_745.jpg;0;1;0;1.335231;100.5503;86.35004;1.239361;40.97646;-0.0007955296
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_813.jpg;0;1;0;1.382262;100.6345;86.42265;1.242031;40.95337;-0.0008924565
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_879.jpg;0;1;0;1.429329;100.7003;86.4793;1.24799;40.93346;-0.0008650245
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_13_946.jpg;0;1;0;1.490768;100.7682;86.53772;1.250842;40.92138;-0.0008941673
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_012.jpg;0;1;0;1.538521;100.8621;86.61847;1.257256;40.90527;-0.000932225
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_079.jpg;0;1;0;1.584146;100.9349;86.68109;1.258708;40.89489;-0.0009392709
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_146.jpg;0;1;0;1.645873;101.01;86.74557;1.2658;40.88329;-0.0009678818
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_213.jpg;0;1;0;1.692105;101.1133;86.83426;1.269268;40.86861;-0.0009923818
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_279.jpg;2.996998;1;0;1.738461;101.1925;86.90363;1.273126;41.04814;-0.002220733
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_346.jpg;5.998903;1;0;1.79778;101.2723;86.97617;1.269336;41.50728;-0.0003813569
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_413.jpg;8.999863;1;0;1.84178;101.3786;87.07898;1.261579;42.63411;0.04026858
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_479.jpg;6.002097;1;0;1.88512;101.4595;87.15886;1.241258;43.46512;0.03786281
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_546.jpg;2.999968;1;0;1.946752;101.5425;87.24095;1.235162;44.03412;0.01307295
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_613.jpg;0;1;0;1.991695;101.6573;87.35371;1.287232;44.30009;-0.002700794
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_679.jpg;0;1;0;2.034406;101.7457;87.44009;1.319569;44.32539;-0.001817792
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_746.jpg;0;1;0;2.09507;101.8359;87.5277;1.318712;44.31994;-0.001285804
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_813.jpg;0;1;0;2.140922;101.9592;87.64716;1.301725;44.30388;-0.0007497
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_880.jpg;0;1;0;2.185238;102.0542;87.73909;1.311222;44.29131;-0.001182092
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_14_946.jpg;0;1;0;2.243317;102.151;87.83277;1.315011;44.27899;-0.001206326
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_013.jpg;0;1;0;2.287391;102.2831;87.96051;1.319577;44.26191;-0.001221007
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_080.jpg;0;1;0;2.331032;102.3843;88.05841;1.323397;44.25211;-0.001247696
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_146.jpg;0;1;0;2.389313;102.4875;88.1581;1.324554;44.23921;-0.001244654
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_213.jpg;0;1;0;2.432618;102.6281;88.29383;1.331049;44.22396;-0.001276202
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_280.jpg;0;1;0;2.4758;102.7357;88.39768;1.333857;44.21412;-0.001303318
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_346.jpg;0;1;0;2.533463;102.8451;88.50327;1.33249;44.20091;-0.001281647
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_413.jpg;0;1;0;2.576279;102.994;88.64683;1.334818;44.1849;-0.00129622
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_480.jpg;0;1;0;2.618947;103.1078;88.75657;1.339017;44.17293;-0.001307271
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_546.jpg;0;1;0;2.675638;103.2236;88.86808;1.344177;44.161;-0.001338338
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_613.jpg;0;1;0;2.718015;103.3808;89.01945;1.350614;44.14528;-0.001363001
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_680.jpg;0;1;0;2.760272;103.5008;89.13499;1.35399;44.13359;-0.001390919
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_746.jpg;0;1;0;2.816406;103.6227;89.25224;1.355701;44.12186;-0.001396684
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_813.jpg;0;1;0;2.858334;103.788;89.41122;1.355676;44.10589;-0.001393001
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_889.jpg;0;1;0;2.913704;103.9142;89.53254;1.364325;44.09243;-0.001404642
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_15_946.jpg;0;1;0;2.955338;104.0422;89.65549;1.368432;44.07934;-0.001455299
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_013.jpg;0;1;0;2.996842;104.2157;89.822;1.367774;44.06297;-0.001447825
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_080.jpg;0;1;0;3.038182;104.3479;89.94889;1.371082;44.05;-0.001350363
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_146.jpg;0;1;0;3.09278;104.4819;90.07744;1.37298;44.03556;-0.001465603
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_213.jpg;0;1;0;3.134237;104.6635;90.25146;1.379679;44.01653;-0.001480179
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_280.jpg;0;1;0;3.174394;104.8017;90.38388;1.380288;44.0025;-0.001502704
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_346.jpg;0;1;0;3.22841;104.9418;90.51801;1.386147;43.98776;-0.001504042
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_413.jpg;0;1;0;3.269011;105.1313;90.69935;1.390468;43.96841;-0.001414639
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_480.jpg;0;1;0;3.30917;105.2754;90.83721;1.390134;43.95319;-0.001544611
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_546.jpg;0;1;0;3.362602;105.4214;90.97675;1.393869;43.93774;-0.001541624
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_613.jpg;0;1;0;3.402451;105.6188;91.16533;1.399791;43.91609;-0.001574508
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_680.jpg;0;1;0;3.442493;105.7689;91.30862;1.401572;43.90083;-0.001477737
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_746.jpg;0;1;0;3.495046;105.9208;91.45354;1.408011;43.88324;-0.001597146
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_813.jpg;0;1;0;3.534796;106.126;91.64915;1.408233;43.86211;-0.001505124
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_880.jpg;0;1;0;3.574492;106.282;91.79774;1.41277;43.84406;-0.001624851
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_16_946.jpg;0;1;0;3.626078;106.4397;91.94792;1.416926;43.82631;-0.001640921
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_014.jpg;0;1;0;3.665794;106.6527;92.1506;1.423297;43.80273;-0.001551839
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_080.jpg;-3.028544;1;0;3.716963;106.815;92.30378;1.424107;43.63647;-0.000578717
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_147.jpg;-6.016949;1;0;3.754311;107.0365;92.50764;1.419861;42.86367;0.0008888912
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_213.jpg;-9.007469;1;0;3.79212;107.2071;92.65874;1.396807;41.81806;359.9862
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_280.jpg;-12.00181;1;0;3.827656;107.383;92.80585;1.333044;40.29983;359.8912
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_346.jpg;-9.007472;1;0;3.874791;107.5623;92.9497;1.180459;38.64149;359.7957
/Users/shingomori/Work/RoboND/RoboND-Rover-Project/dataset/IMG/robocam_2017_08_24_23_12_17_413.jpg;-6.003766;1;0;3.913989;107.8082;93.13779;0.9492621;36.93195;359.6079
